Title,Price,Link
Fender Stratocaster USA 1997 on an MJT 1 Piece Ash Nitro Body,$795.00,https://www.kijiji.ca/v-guitar/ottawa/fender-stratocaster-usa-1997-on-an-mjt-1-piece-ash-nitro-body/1703720339
PRECISION GUITAR WORX,Please Contact,https://www.kijiji.ca/v-guitar/sudbury/precision-guitar-worx/1660305330
Fender Stratocaster electric guitar,$800.00,https://www.kijiji.ca/v-guitar/chatham-kent/fender-stratocaster-electric-guitar/1703367868
1974 Gibson L5s Custom ,"$8,800.00",https://www.kijiji.ca/v-guitar/london/1974-gibson-l5s-custom/1703274556
Epiphone Riviera Electric Guitar,$699.00,https://www.kijiji.ca/v-guitar/ottawa/epiphone-riviera-electric-guitar/1702114895
"DIY Guitar Kits, The largest selection of Do it Yourself Guitars",Please Contact,https://www.kijiji.ca/v-guitar/markham-york-region/diy-guitar-kits-the-largest-selection-of-do-it-yourself-guitars/1483566448
Acoustic Guitar ,$59.00,https://www.kijiji.ca/v-guitar/kitchener-waterloo/acoustic-guitar/1703975807
Squier Custom Vibe Jaguar,$500.00,https://www.kijiji.ca/v-guitar/city-of-toronto/squier-custom-vibe-jaguar/1703975786
Guitar Stands,$30.00,https://www.kijiji.ca/v-guitar/city-of-toronto/guitar-stands/1703975288
Outdoor Guitar™ - Carbon Fibre,$500.00,https://www.kijiji.ca/v-guitar/london/outdoor-guitar-carbon-fibre/1703975094
 Yamaha bass and amplifier ,$450.00,https://www.kijiji.ca/v-guitar/city-of-toronto/yamaha-bass-and-amplifier/1703974773
"Rare & Vintage Aria Hollow-Body Electric Guitar, Japanese-made",$800.00,https://www.kijiji.ca/v-guitar/city-of-toronto/rare-vintage-aria-hollow-body-electric-guitar-japanese-made/1703974406
Fender Richie Sambora Stratocaster 1993-1995 American,"$12,000.00",https://www.kijiji.ca/v-guitar/oshawa-durham-region/fender-richie-sambora-stratocaster-1993-1995-american/1699751382
Fender Malmsteen Stratocaster 2023,"$3,000.00",https://www.kijiji.ca/v-guitar/oshawa-durham-region/fender-malmsteen-stratocaster-2023/1699754196
guitar Jackson ,$400.00,https://www.kijiji.ca/v-guitar/city-of-toronto/guitar-jackson/1703973939
1967 NORMA EG-470-3 ... needs some TLC,$395.00,https://www.kijiji.ca/v-guitar/mississauga-peel-region/1967-norma-eg-470-3-needs-some-tlc/1703973789
Norman B15 (6) Acoustic Dreadnaught ,$265.00,https://www.kijiji.ca/v-guitar/city-of-toronto/norman-b15-6-acoustic-dreadnaught/1703973529
Fender Fender Paramount PO-220E Orchestra - Natural,$949.00,https://www.kijiji.ca/v-guitar/oakville-halton-region/fender-fender-paramount-po-220e-orchestra-natural/1703973413
Gretsch Corvette Deluxe vintage,"$1,600.00",https://www.kijiji.ca/v-guitar/london/gretsch-corvette-deluxe-vintage/1703973263
ENYA NOVA GO CARBON FIBER GUITAR (BLACK),$195.00,https://www.kijiji.ca/v-guitar/peterborough/enya-nova-go-carbon-fiber-guitar-black/1703949316
